ic_number,plate_number,age,months_as_customer,vehicle_age_years,vehicle_make,policy_expired_flag,deductible_amount,market_value,damage_severity_score,repair_amount,at_fault_flag,time_to_report_days,claim_reported_to_police_flag,license_type_missing_flag,num_third_parties,num_witnesses,approval_flag,coverage_amount
051123-50-8971,XSA6109,32,8,4,Honda City,0,200.0,80000.0,0.51,16006.32,0,4,1,0,0,0,1,15806.32
770805-63-2040,CVF7528,33,44,12,Toyota Vios,0,200.0,75000.0,0.78,18616.78,0,3,1,0,1,0,1,18416.78
030531-10-9996,SWO2787,44,8,12,Toyota Vios,0,300.0,75000.0,0.49,15586.36,1,3,0,0,1,3,1,15286.36
930515-15-9006,MKV9282,53,2,3,Perodua Myvi,0,1000.0,50000.0,0.58,11724.49,0,8,1,0,1,0,1,10724.49
590115-71-3570,HRQ6688,24,2,4,Honda City,1,300.0,80000.0,0.65,18782.28,1,5,1,0,0,1,0,0.0
460825-24-6424,NAM6693,48,14,2,Nissan Almera,0,200.0,70000.0,0.76,24373.08,0,8,0,0,1,0,0,0.0
620605-37-7356,WIB1298,18,0,4,Nissan Almera,0,500.0,70000.0,0.47,13169.88,0,11,1,0,2,1,1,12669.88
450110-46-6402,CYZ6430,42,9,4,Honda City,0,800.0,80000.0,0.55,19459.42,1,8,1,0,0,1,0,0.0
950327-64-1668,IKO2307,53,0,1,Perodua Myvi,0,300.0,50000.0,0.66,11919.06,1,4,1,0,1,0,1,11619.06
640511-29-0869,FXH1713,69,41,0,Nissan Almera,0,300.0,70000.0,0.41,11095.79,0,4,0,0,0,0,1,10795.79
750214-21-3424,UKG9581,40,79,0,Toyota Vios,0,300.0,75000.0,0.65,20110.43,1,3,1,0,1,1,1,19810.43
830915-15-4755,FNH1907,55,6,16,Perodua Myvi,1,500.0,50000.0,0.71,17072.96,1,2,0,0,0,0,0,0.0
541003-56-9734,ORQ5707,33,5,8,Toyota Vios,0,1000.0,75000.0,0.41,14315.33,0,3,1,0,2,2,1,13315.33
960902-23-6199,HRD0029,41,68,2,Mazda 3,0,1000.0,130000.0,0.68,42941.98,1,3,0,0,0,1,1,41941.98
980305-44-4020,CZQ8524,44,46,8,Perodua Myvi,0,500.0,50000.0,0.5,11928.91,0,4,0,0,0,0,1,11428.91
730803-72-0917,DEV0179,38,45,13,Toyota Vios,0,800.0,75000.0,0.73,19825.03,0,7,0,0,1,3,1,19025.03
850905-71-9868,IWU0948,47,53,6,Proton X70,0,1000.0,110000.0,0.77,38552.39,0,7,0,0,0,0,1,37552.39
050823-61-7690,WYB3349,46,51,3,Perodua Myvi,0,1000.0,50000.0,0.6,13795.06,0,3,1,0,2,0,1,12795.06
991125-19-4883,RXU6113,26,3,0,Proton X70,0,300.0,110000.0,0.45,18720.83,1,0,1,0,2,3,1,18420.83
880412-14-8837,HKR3106,45,52,2,Perodua Myvi,0,300.0,50000.0,0.63,10879.06,0,5,1,0,0,1,1,10579.06
780507-09-1321,XDU1090,46,9,5,Perodua Myvi,0,1000.0,50000.0,0.49,9807.27,1,6,0,0,0,3,1,8807.27
040902-94-6779,VWP9405,36,1,3,Proton X70,0,800.0,110000.0,0.77,27290.86,0,6,1,0,1,0,1,26490.86
050408-08-8447,SQF3911,34,73,14,Honda City,0,500.0,80000.0,0.68,23892.73,0,8,1,0,0,1,1,23392.73
471229-49-2908,TNX0424,37,71,1,Perodua Myvi,0,500.0,50000.0,0.41,8978.99,0,7,1,0,1,0,1,8478.99
700825-63-8099,PZP6477,35,45,10,Perodua Myvi,0,200.0,50000.0,0.75,15560.08,0,4,1,0,1,1,1,15360.08
600909-89-0605,CNO7859,26,9,3,Nissan Almera,0,500.0,70000.0,0.79,20366.49,0,6,1,0,0,0,1,19866.49
950605-53-3169,XKO2904,24,58,9,Honda City,0,1000.0,80000.0,0.5,16590.47,0,4,0,0,1,2,1,15590.470000000001
860319-90-6628,BSB8174,55,47,13,Perodua Myvi,0,300.0,50000.0,0.77,17321.58,0,5,1,0,0,1,1,17021.58
550404-45-7319,WZL1207,42,45,2,Proton X70,0,1000.0,110000.0,0.59,31652.21,0,6,1,0,1,1,1,30652.21
070110-13-2070,WVA2735,25,30,12,Honda City,0,200.0,80000.0,0.47,14428.06,1,6,1,0,0,2,1,14228.06
990201-15-2414,HYU6154,48,7,6,Honda City,0,200.0,80000.0,0.58,22116.65,0,5,1,0,0,1,1,21916.65
001208-03-8859,UOI2616,35,36,15,Toyota Vios,0,1000.0,75000.0,0.65,19336.5,1,7,1,0,0,0,1,18336.5
560709-40-2839,ORI9472,48,14,9,Perodua Myvi,0,800.0,50000.0,0.57,14061.37,0,6,0,0,0,2,1,13261.37
920710-39-0235,PEP1033,61,0,6,Honda City,0,200.0,80000.0,0.43,16532.58,0,2,0,0,1,0,1,16332.580000000002
760107-17-3912,LAV9102,50,18,1,Honda City,0,1000.0,80000.0,0.74,21544.91,0,4,1,0,1,0,1,20544.91
960530-02-3396,PUE2952,60,4,3,Perodua Myvi,0,1000.0,50000.0,0.49,9186.5,1,8,1,0,0,1,1,8186.5
650806-08-6681,QAO2539,59,67,12,Nissan Almera,0,300.0,70000.0,0.52,11948.61,1,3,1,0,0,1,1,11648.61
480620-34-9412,DTA8971,31,61,6,Perodua Myvi,0,500.0,50000.0,0.52,7902.59,0,5,1,0,1,0,1,7402.59
700416-76-4447,MPA0661,47,2,7,Perodua Myvi,0,500.0,50000.0,0.67,10651.74,0,3,0,0,0,1,1,10151.74
640213-41-3395,TIZ5207,30,21,13,Perodua Myvi,0,500.0,50000.0,0.41,9165.72,0,7,1,0,0,2,1,8665.72
900802-59-2869,SSE9928,38,9,5,Perodua Myvi,0,300.0,50000.0,0.5,10544.85,0,4,1,0,1,1,1,10244.85
601123-25-2346,INK4360,32,39,7,Toyota Vios,0,200.0,75000.0,0.69,18570.98,0,6,1,0,0,0,1,18370.98
821229-16-9027,DCS4294,19,12,6,Proton X70,0,500.0,110000.0,0.75,36670.91,0,3,1,0,0,0,1,36170.91
990409-19-0869,RFT2636,56,37,1,Proton X70,0,1000.0,110000.0,0.51,26336.72,1,12,1,0,0,1,1,25336.72
760224-78-5185,GOQ2125,41,1,0,Perodua Myvi,0,200.0,50000.0,0.59,12913.06,1,4,1,0,0,0,1,12713.06
631222-42-3354,IWQ4908,28,8,18,Perodua Myvi,0,800.0,50000.0,0.43,10291.2,0,9,1,0,1,0,1,9491.2
790623-79-9520,BEL2372,54,9,5,Nissan Almera,0,800.0,70000.0,0.54,11442.9,0,5,1,0,0,1,1,10642.9
040815-62-7477,GZF9304,41,15,5,Proton X70,0,800.0,110000.0,0.79,29797.01,0,7,0,0,1,2,1,28997.01
780414-34-6744,SHL5161,27,10,8,Perodua Myvi,0,1000.0,50000.0,0.66,12255.08,1,5,1,0,3,2,1,11255.08
640523-54-1187,KYY6113,26,4,4,Perodua Myvi,0,1000.0,50000.0,0.47,10287.58,0,7,0,0,0,1,1,9287.58
581113-23-5619,SRW2653,35,20,6,Perodua Myvi,0,500.0,50000.0,0.4,6718.62,1,4,1,0,0,0,1,6218.62
630528-34-4299,NMX7638,38,0,2,Perodua Myvi,0,1000.0,50000.0,0.74,14637.73,0,5,1,0,0,0,1,13637.73
570416-18-7240,XPT5604,51,48,14,Honda City,0,200.0,80000.0,0.45,11744.87,0,6,0,0,0,2,1,11544.87
050626-18-5362,HJU4040,43,9,5,Perodua Myvi,0,800.0,50000.0,0.8,19009.58,1,6,0,1,0,2,0,0.0
461205-98-1469,ISY4634,54,55,7,Proton X70,0,300.0,110000.0,0.67,27113.04,0,12,0,0,1,1,1,26813.04
630611-59-2208,ULG9277,35,7,9,Perodua Myvi,0,200.0,50000.0,0.42,6930.24,0,2,1,0,0,0,1,6730.24
001014-11-0614,IYE2222,40,3,0,Proton X70,0,800.0,110000.0,0.65,33665.53,1,2,1,0,0,2,1,32865.53
530616-30-8766,DKH6497,37,56,6,Proton X70,0,800.0,110000.0,0.69,30051.07,0,3,1,0,1,1,1,29251.07
751022-86-2853,DBG9909,46,22,1,Proton X70,0,200.0,110000.0,0.45,20606.62,0,5,1,0,0,1,1,20406.62
480517-63-3109,OOI7674,41,40,8,Perodua Myvi,0,300.0,50000.0,0.5,7697.44,0,5,1,0,1,0,1,7397.44
971121-31-3496,TRZ4947,51,13,19,Perodua Myvi,0,1000.0,50000.0,0.71,12513.69,0,3,1,0,0,0,1,11513.69
990811-64-4902,ISN1294,46,13,11,BMW 3 Series,0,800.0,250000.0,0.55,51668.75,0,5,0,0,0,1,1,50868.75
930520-04-8945,HHA3245,35,12,6,Nissan Almera,1,800.0,70000.0,0.72,23157.46,0,4,0,0,1,1,0,0.0
481208-87-6767,MBK6200,41,8,14,Perodua Myvi,0,1000.0,50000.0,0.45,10385.61,0,6,1,0,1,0,1,9385.61
690903-56-6718,GCH4739,56,45,8,Nissan Almera,0,500.0,70000.0,0.79,20793.48,0,9,1,0,1,1,1,20293.48
990418-70-2588,BYZ4901,41,4,4,Proton X70,0,500.0,110000.0,0.58,27648.89,1,3,1,0,0,1,1,27148.89
500924-58-7962,RVL0593,55,17,18,BMW 3 Series,0,500.0,250000.0,0.6,61831.73,0,7,1,1,0,3,1,61331.73
520217-10-8573,ULX5636,41,51,17,Perodua Myvi,0,300.0,50000.0,0.53,12798.41,1,2,0,0,0,0,0,0.0
881227-59-8330,YTI0778,45,60,0,Perodua Myvi,0,800.0,50000.0,0.67,13818.04,1,4,1,0,0,2,1,13018.04
650323-56-9200,DDC4701,36,3,18,Perodua Myvi,0,500.0,50000.0,0.48,7560.34,0,6,1,0,0,4,1,7060.34
460308-22-8361,CUV7151,18,0,16,Perodua Myvi,0,300.0,50000.0,0.52,11869.92,0,3,1,0,1,0,1,11569.92
970522-95-8095,YJI3668,40,1,12,Nissan Almera,0,1000.0,70000.0,0.53,14704.02,0,6,1,0,1,0,1,13704.02
800918-91-4294,NGK3281,42,18,1,Mazda 3,0,300.0,130000.0,0.68,43557.46,0,6,1,0,0,2,1,43257.46
510214-77-0923,AGD3028,46,8,18,Perodua Myvi,1,500.0,50000.0,0.53,9792.8,0,5,1,0,0,1,1,9292.8
700527-95-5185,AXY8182,46,38,10,Nissan Almera,0,1000.0,70000.0,0.65,16595.97,1,3,1,0,0,1,1,15595.970000000001
031004-23-6029,JEE6775,53,21,2,Proton X70,0,800.0,110000.0,0.49,18389.48,0,7,1,0,0,3,1,17589.48
850225-34-0431,AVN8346,45,49,9,BMW 3 Series,0,300.0,250000.0,0.42,40571.68,1,6,1,0,1,1,1,40271.68
790216-71-3145,LEB3218,28,17,3,Proton X70,0,300.0,110000.0,0.78,42762.6,0,7,1,1,0,3,1,42462.6
630420-86-1874,OFS6043,57,16,0,Perodua Myvi,0,200.0,50000.0,0.78,13255.01,0,7,0,0,0,1,1,13055.01
800706-83-9077,VFG0871,27,9,4,Perodua Myvi,0,1000.0,50000.0,0.53,12228.44,0,9,1,0,0,0,1,11228.44
731208-87-3861,GUO8005,37,37,9,Perodua Myvi,0,200.0,50000.0,0.69,16052.92,1,8,0,0,1,1,0,0.0
590504-76-1086,EXK7783,18,0,3,Perodua Myvi,1,800.0,50000.0,0.77,14569.06,0,3,1,0,0,0,0,0.0
841215-70-1961,OBF9317,43,2,2,Toyota Vios,0,800.0,75000.0,0.43,16070.47,0,9,0,0,2,1,1,15270.47
871012-65-1577,BXV2165,37,4,0,Proton X70,0,500.0,110000.0,0.65,29121.51,0,4,0,0,1,0,1,28621.51
680105-61-2649,NIN8782,20,17,6,Proton X70,0,500.0,110000.0,0.77,26780.06,0,3,1,0,0,0,1,26280.06
820209-28-3916,MTV6158,22,20,6,Perodua Myvi,0,200.0,50000.0,0.6,14519.72,0,8,1,0,2,0,1,14319.72
700914-96-4230,OZV0213,34,53,13,Toyota Vios,1,300.0,75000.0,0.67,23774.03,0,1,1,0,0,2,1,23474.03
890521-05-1409,VFH5328,19,12,5,Perodua Myvi,0,300.0,50000.0,0.42,8490.48,0,4,1,0,0,3,1,8190.48
500207-77-0702,FDW4604,54,6,17,Perodua Myvi,1,500.0,50000.0,0.5,9529.97,0,6,1,0,0,1,1,9029.97
550924-50-5135,ZVS3803,58,72,9,Honda City,1,500.0,80000.0,0.59,20073.82,0,4,0,0,3,0,1,19573.82
921005-62-0551,PWB4552,46,72,16,Mazda 3,0,200.0,130000.0,0.55,25787.86,1,9,0,0,0,1,0,0.0
820103-94-5520,DHC7543,20,24,1,Proton X70,0,800.0,110000.0,0.77,36923.81,1,4,1,0,0,1,1,36123.81
780520-94-8061,IGC8490,54,4,12,Perodua Myvi,0,800.0,50000.0,0.64,11286.09,0,4,1,0,0,2,1,10486.09
581214-35-8083,DXK8473,41,51,3,Proton X70,0,1000.0,110000.0,0.77,30106.55,0,10,0,0,1,0,0,0.0
471118-56-0420,LYK2108,25,10,15,Perodua Myvi,0,500.0,50000.0,0.51,9937.63,0,6,0,0,1,1,1,9437.63
850324-92-4108,NHD9922,56,36,10,Perodua Myvi,0,1000.0,50000.0,0.68,11762.63,1,3,1,0,0,1,1,10762.63
820612-11-4055,PJX9681,35,16,10,Perodua Myvi,0,300.0,50000.0,0.45,7866.16,1,3,0,1,1,1,1,7566.16
890418-65-7435,OTT2326,38,42,4,Perodua Myvi,0,300.0,50000.0,0.67,12495.41,0,3,1,0,0,1,1,12195.41
570614-92-2037,RPN8409,46,46,5,Honda City,0,500.0,80000.0,0.4,9740.14,0,4,1,0,0,0,1,9240.14
891002-55-0289,QCB6673,35,19,2,Perodua Myvi,0,300.0,50000.0,0.49,7998.25,0,2,1,0,1,0,1,7698.25
660126-25-4764,QDG5791,43,8,10,Honda City,0,300.0,80000.0,0.74,21567.88,0,2,1,0,0,0,1,21267.88
780608-88-1609,ZFH7259,39,0,3,Proton X70,0,200.0,110000.0,0.54,27248.59,0,6,1,0,1,2,1,27048.59
840224-60-5476,VLS1813,61,102,16,Toyota Vios,0,300.0,75000.0,0.72,23175.98,0,3,1,1,1,2,1,22875.98
510907-97-5279,PKW7410,48,4,20,Perodua Myvi,0,1000.0,50000.0,0.69,16762.3,0,5,1,0,2,1,1,15762.3
811026-58-0307,XDQ0619,37,47,0,Perodua Myvi,0,800.0,50000.0,0.69,11062.68,0,6,1,0,1,1,1,10262.68
900815-64-0882,XLB0770,40,41,21,Mazda 3,0,500.0,130000.0,0.5,31424.98,1,3,1,0,1,0,1,30924.98
990205-60-0176,MEY4040,49,3,3,Perodua Myvi,0,500.0,50000.0,0.62,9919.01,0,4,1,0,0,4,1,9419.01
680403-48-7542,NOA5776,39,49,8,Perodua Myvi,0,500.0,50000.0,0.67,13060.68,0,4,1,0,0,1,1,12560.68
661216-49-2387,ZNS0241,41,3,18,Perodua Myvi,0,800.0,50000.0,0.66,13393.25,0,5,0,0,2,0,1,12593.25
600111-32-5988,VOR5176,31,20,16,Perodua Myvi,0,500.0,50000.0,0.51,10948.32,0,6,1,0,0,0,1,10448.32
030725-13-3857,FWO0813,18,0,6,Proton X70,0,1000.0,110000.0,0.54,29035.39,0,3,0,0,0,0,1,28035.39
980329-71-1649,MSM2219,30,10,9,Toyota Vios,0,800.0,75000.0,0.46,15322.83,1,5,1,0,0,0,1,14522.83
630731-73-9589,MPA7230,63,22,1,Proton X70,0,500.0,110000.0,0.78,32984.71,0,4,1,0,0,2,1,32484.71
540118-32-7301,CCW5215,63,50,0,Nissan Almera,0,1000.0,70000.0,0.61,18653.9,0,3,0,0,0,0,1,17653.9
020528-34-1617,CTR0534,34,5,12,Toyota Vios,0,300.0,75000.0,0.52,15500.18,0,5,1,0,2,0,1,15200.18
500906-57-7941,DZP3920,39,1,4,Perodua Myvi,0,800.0,50000.0,0.65,14689.94,0,3,1,0,1,1,1,13889.94
890531-86-4472,MUX1476,25,43,6,BMW 3 Series,0,500.0,250000.0,0.8,75721.46,0,9,1,0,0,2,1,75221.46
621130-09-4391,NAS0180,37,40,8,Perodua Myvi,0,300.0,50000.0,0.53,11725.02,0,5,1,0,1,2,1,11425.02
670221-86-4916,YKK3363,44,73,17,Honda City,1,500.0,80000.0,0.6,17859.61,1,7,0,0,0,1,0,0.0
461024-69-3397,JGQ1097,25,38,4,Proton X70,0,200.0,110000.0,0.59,20011.06,0,8,0,0,0,1,1,19811.06
610918-33-4179,TUV8865,38,54,17,Honda City,0,800.0,80000.0,0.71,25855.07,1,6,1,0,0,0,1,25055.07
561210-24-2802,ZPD2898,58,99,7,Proton X70,0,200.0,110000.0,0.69,32505.97,1,6,1,0,0,2,1,32305.97
781017-72-2028,QCY8877,47,71,2,Nissan Almera,0,200.0,70000.0,0.75,23175.69,0,6,1,0,0,1,1,22975.69
070224-28-0453,KKW6496,53,13,13,Perodua Myvi,0,1000.0,50000.0,0.66,13465.46,0,9,0,0,0,1,1,12465.46
601226-84-7030,XZR6862,32,10,4,Proton X70,0,500.0,110000.0,0.5,20599.45,0,2,1,0,0,0,1,20099.45
600323-96-0422,YZE9452,34,26,15,Perodua Myvi,0,300.0,50000.0,0.42,7112.77,0,6,1,0,0,1,1,6812.77
010329-66-6660,QTE9813,72,64,9,Perodua Myvi,0,1000.0,50000.0,0.73,12590.46,1,3,1,0,1,0,1,11590.46
020706-20-9290,QOQ1610,21,0,1,Nissan Almera,0,200.0,70000.0,0.65,16687.03,0,1,1,0,1,0,1,16487.03
800915-25-9279,AYJ3534,31,7,4,Mazda 3,0,200.0,130000.0,0.49,20427.63,0,6,1,0,0,0,1,20227.63
860307-67-3823,HZU3681,29,13,2,Toyota Vios,0,300.0,75000.0,0.75,22719.0,0,3,1,0,1,1,1,22419.0
860607-50-7613,XEO3148,26,1,14,Perodua Myvi,0,200.0,50000.0,0.45,8796.4,1,3,0,0,1,1,1,8596.4
031019-58-9777,DQC9988,49,4,7,Toyota Vios,0,500.0,75000.0,0.55,16529.54,0,10,1,0,1,0,1,16029.54
441109-05-3263,LUN3415,36,16,6,Toyota Vios,0,200.0,75000.0,0.79,26243.99,0,4,1,0,0,0,1,26043.99
021209-31-2275,FUU9997,36,8,2,Proton X70,1,200.0,110000.0,0.61,31473.19,1,2,1,0,1,0,0,0.0
840315-83-5914,LKK8677,46,1,20,Perodua Myvi,0,800.0,50000.0,0.54,11982.19,0,5,1,0,0,2,1,11182.19
841110-23-3589,BLA1396,61,47,11,Mazda 3,0,500.0,130000.0,0.67,41673.07,0,7,0,0,0,1,1,41173.07
600420-34-8552,BVQ3048,60,47,4,Toyota Vios,0,1000.0,75000.0,0.42,15048.21,0,5,1,0,1,4,1,14048.21
730815-26-2901,ZGL1514,49,57,8,Honda City,0,500.0,80000.0,0.47,12336.0,0,3,0,0,0,1,1,11836.0
840420-88-1978,VON1978,49,53,0,Nissan Almera,0,200.0,70000.0,0.78,22073.85,1,1,1,0,2,0,1,21873.85
470427-56-2881,XLK3041,18,0,13,Perodua Myvi,0,1000.0,50000.0,0.68,13416.34,0,4,1,0,0,0,1,12416.34
730816-58-5538,EHR0335,30,39,9,Nissan Almera,0,1000.0,70000.0,0.68,22806.97,0,6,1,0,2,1,1,21806.97
950804-49-2550,DWU3454,42,52,8,Perodua Myvi,0,500.0,50000.0,0.61,13149.66,0,5,0,0,1,1,1,12649.66
660407-05-0516,ZGZ2137,18,0,8,Perodua Myvi,0,300.0,50000.0,0.48,10752.91,0,5,0,0,1,1,1,10452.91
931109-40-4328,OQU4677,66,51,7,Perodua Myvi,1,1000.0,50000.0,0.62,14185.35,0,5,1,0,0,0,1,13185.35
790209-17-9879,WWF1833,20,24,2,Proton X70,0,500.0,110000.0,0.72,31254.76,0,6,1,0,0,2,1,30754.76
520202-06-0982,LUA4214,35,10,15,Mazda 3,0,800.0,130000.0,0.61,37834.76,0,6,0,0,0,0,1,37034.76
990528-12-0145,NBJ5621,53,21,7,Proton X70,0,200.0,110000.0,0.77,40317.59,0,4,1,0,1,2,1,40117.59
750619-03-8389,HMK2633,45,11,13,Perodua Myvi,0,1000.0,50000.0,0.43,8977.31,0,6,0,0,1,0,1,7977.3099999999995
470122-16-6069,ZPQ7678,18,0,6,Proton X70,0,200.0,110000.0,0.42,18227.99,0,6,1,0,0,0,1,18027.99
010922-23-0595,ZKM4742,38,8,12,Nissan Almera,0,300.0,70000.0,0.61,18985.42,1,6,1,0,0,0,1,18685.42
720311-37-2153,BYC0100,43,2,14,Perodua Myvi,0,800.0,50000.0,0.4,7808.16,0,5,1,0,0,1,1,7008.16
460704-48-0955,VGB1153,38,22,14,Perodua Myvi,0,200.0,50000.0,0.59,12619.61,0,2,1,0,4,1,1,12419.61
920408-12-9653,ATH2346,47,3,13,Honda City,0,800.0,80000.0,0.67,17005.79,0,3,1,0,1,1,1,16205.79
950929-25-2449,SOA1558,29,10,6,Proton X70,0,500.0,110000.0,0.78,37646.44,0,6,1,0,0,2,1,37146.44
560416-05-9581,FXJ3152,33,17,6,Honda City,0,500.0,80000.0,0.75,20858.36,0,4,0,0,0,1,1,20358.36
800423-41-4787,KLQ0024,30,3,10,Perodua Myvi,0,500.0,50000.0,0.67,10457.06,0,3,1,0,0,0,1,9957.06
070217-15-2290,BAZ1902,58,5,2,Proton X70,0,300.0,110000.0,0.66,31006.06,0,6,1,0,1,0,1,30706.06
671109-31-3824,BYH1371,39,54,3,Perodua Myvi,0,300.0,50000.0,0.47,11329.84,0,6,0,0,0,0,1,11029.84
911003-56-0351,KHQ6388,23,56,21,BMW 3 Series,0,200.0,250000.0,0.47,48767.76,0,2,1,0,0,0,1,48567.76
040528-08-3421,DZO5799,47,60,7,Perodua Myvi,0,500.0,50000.0,0.75,13571.83,0,4,1,0,0,3,1,13071.83
521215-93-0033,MOD6824,26,11,18,Perodua Myvi,0,800.0,50000.0,0.78,16966.06,0,5,1,0,0,2,1,16166.060000000001
060117-03-3130,FAK4172,39,34,12,Perodua Myvi,0,1000.0,50000.0,0.64,10587.9,0,3,1,0,1,0,1,9587.9
800412-25-2188,VLB0213,22,48,13,Perodua Myvi,0,200.0,50000.0,0.53,12456.99,0,6,1,0,0,2,1,12256.99
740711-02-0138,VAC1702,42,9,10,Honda City,0,1000.0,80000.0,0.71,22946.66,0,3,1,0,0,1,1,21946.66
481113-31-3679,IAF6294,18,0,18,Toyota Vios,0,800.0,75000.0,0.65,18266.59,0,7,1,0,0,0,1,17466.59
610111-15-7252,UFU7475,35,12,18,Perodua Myvi,0,200.0,50000.0,0.62,10632.96,0,4,1,0,1,1,1,10432.96
890205-79-2991,GNF7921,49,25,12,Nissan Almera,0,500.0,70000.0,0.59,17354.49,1,7,1,0,2,1,1,16854.49
480317-15-4311,QAP3724,58,4,5,Proton X70,0,1000.0,110000.0,0.59,23248.69,0,3,1,0,0,1,1,22248.69
861113-29-3844,WXY2589,36,0,4,Honda City,0,800.0,80000.0,0.47,18583.54,0,5,0,1,1,0,1,17783.54
050629-54-6225,OTV3552,37,1,3,Nissan Almera,1,300.0,70000.0,0.76,21512.01,1,5,1,0,0,1,0,0.0
440611-72-0631,DMC5343,37,2,20,Perodua Myvi,0,500.0,50000.0,0.57,11082.99,0,4,1,0,0,0,1,10582.99
501015-24-9591,YSD6775,50,5,1,Perodua Myvi,0,1000.0,50000.0,0.76,14923.2,0,9,0,0,2,1,1,13923.2
800324-36-2806,EJI1651,45,56,20,Perodua Myvi,0,1000.0,50000.0,0.54,11398.79,1,2,1,0,0,1,1,10398.79
680505-19-3652,HXH7657,37,4,4,Perodua Myvi,0,300.0,50000.0,0.51,12688.64,1,6,1,0,0,1,1,12388.64
980225-22-4202,AIS5901,40,3,19,Perodua Myvi,0,300.0,50000.0,0.73,18189.35,0,2,1,0,0,2,1,17889.35
520829-40-8372,GMK9148,40,15,10,Perodua Myvi,0,300.0,50000.0,0.57,12069.12,0,3,1,0,1,0,1,11769.12
880501-39-9073,RXQ1956,19,10,3,Proton X70,0,1000.0,110000.0,0.64,34741.52,0,4,1,0,1,1,1,33741.52
041007-19-9377,VOW5351,30,63,11,Honda City,0,200.0,80000.0,0.42,13691.54,0,5,1,0,0,0,1,13491.54
950729-14-0446,CIX7258,43,19,2,Honda City,0,1000.0,80000.0,0.79,22453.08,0,5,0,0,0,2,1,21453.08
481108-84-3646,WRF1556,51,25,11,Perodua Myvi,0,800.0,50000.0,0.51,8061.75,0,5,1,0,0,0,1,7261.75
060129-43-2900,ZVJ6585,29,7,7,Proton X70,0,800.0,110000.0,0.48,23119.95,1,2,0,0,0,2,1,22319.95
850608-10-5050,NOL0368,33,1,3,Honda City,0,300.0,80000.0,0.68,26812.55,0,7,0,0,0,0,0,0.0
051012-81-1158,KRN4859,46,67,5,Proton X70,0,800.0,110000.0,0.47,24521.85,0,3,1,0,0,4,1,23721.85
861112-06-3808,CUA7022,29,32,15,Honda City,0,1000.0,80000.0,0.67,19919.53,0,7,1,0,1,0,1,18919.53
820904-49-6296,YZL2895,30,5,12,Perodua Myvi,0,1000.0,50000.0,0.7,15042.36,0,4,1,0,1,0,1,14042.36
931108-94-4263,QXO8346,57,1,16,Perodua Myvi,0,1000.0,50000.0,0.42,9982.92,0,4,0,0,1,1,1,8982.92
560719-63-9030,VAN0896,36,103,10,Perodua Myvi,0,1000.0,50000.0,0.72,13119.98,0,7,1,0,0,0,1,12119.98
820902-37-1917,BYY6725,30,3,3,Perodua Myvi,0,1000.0,50000.0,0.45,9693.54,0,4,1,0,0,2,1,8693.54
450627-16-3724,LNK2896,43,59,2,Honda City,0,200.0,80000.0,0.61,15231.31,0,4,0,0,0,1,1,15031.31
030501-98-0653,XDW4336,51,0,4,Proton X70,0,800.0,110000.0,0.69,25784.14,0,7,1,0,1,1,1,24984.14
020321-19-5876,FIP5908,30,3,0,Perodua Myvi,0,1000.0,50000.0,0.54,13066.95,0,3,0,0,0,0,1,12066.95
600827-38-3248,DAU5435,45,5,15,Perodua Myvi,0,500.0,50000.0,0.7,10752.63,1,2,1,0,2,2,1,10252.63
521027-71-5505,HQL4262,43,36,20,Perodua Myvi,0,300.0,50000.0,0.74,15331.26,0,8,1,1,2,1,1,15031.26
990108-15-1867,JXQ5722,43,5,1,Perodua Myvi,0,200.0,50000.0,0.59,11401.11,0,4,1,0,0,2,1,11201.11
540928-86-8252,QXP1234,26,37,6,Proton X70,0,800.0,110000.0,0.44,15198.51,0,6,1,0,1,1,1,14398.51
860815-77-9683,CKP9796,18,0,7,Perodua Myvi,0,500.0,50000.0,0.53,12647.63,0,6,1,1,0,1,1,12147.63
650506-30-5000,QCH5123,18,0,6,Perodua Myvi,0,500.0,50000.0,0.72,14416.05,0,1,1,0,1,0,1,13916.05
550922-19-4582,UIZ3895,58,69,6,Toyota Vios,0,500.0,75000.0,0.56,16083.01,0,4,0,0,0,0,1,15583.01
870913-77-4929,HLU4445,35,16,9,Perodua Myvi,0,500.0,50000.0,0.47,11224.86,0,2,1,0,2,1,1,10724.86
610603-95-3668,DIK1054,40,7,23,BMW 3 Series,0,500.0,250000.0,0.59,46743.78,0,6,1,0,0,0,1,46243.78
730315-51-7039,LFM7347,29,4,10,Perodua Myvi,1,300.0,50000.0,0.6,14615.54,0,4,1,0,0,1,1,14315.54
760707-09-8257,LTR8462,28,12,13,Perodua Myvi,0,1000.0,50000.0,0.72,14495.51,0,3,0,0,1,0,1,13495.51
681115-28-4914,HKY2772,26,14,4,Proton X70,0,200.0,110000.0,0.52,23421.17,0,4,0,0,0,2,1,23221.17
660205-96-0570,IRB2438,38,7,0,Proton X70,0,200.0,110000.0,0.76,30059.8,0,3,1,0,1,0,1,29859.8
980129-02-5682,CVP5841,36,1,14,Mazda 3,0,200.0,130000.0,0.68,34912.72,0,8,1,0,0,2,1,34712.72
030516-25-3784,QJG8463,42,13,5,Proton X70,0,800.0,110000.0,0.71,38751.34,1,6,0,0,0,2,1,37951.34
